20 //
20 //
30 //
30 //
20 //
20 //
30 //
30 //
20 //
20 //
30 //
30 //
ffff //
ffff //
ffff //
ffff //
ffff //
ffff //
ffff //
ffff //
ffff //
ffff //
ffff //
ffff //
0 //
0 //
0 //
0 //
0 //
0 //
0 //
0 //
0 //
0 //
0 //
0 //
838c    // 33676        0
2cfd    // 11517        1
4f03    // 20227        2
88d7    // 35031        3
f297    // 62103        4
2bf6    // 11254        5
b3c5    // 46021        6
39f7    // 14839        7
7ea9    // 32425        8
1fed    // 8173         9
157a    // 5498        10
63bf    // 25535       11
46f8    // 18168       12
5e39    // 24121       13
fbc2    // 64450       14
890f    // 35087       15
c403    // 50179       16
a57f    // 42367       17
c463    // 50275       18
c7bd    // 51133       19
d2ac    // 53932       20
26e5    // 9957        21
a01f    // 40991       22
508f    // 20623       23
58ce    // 22734       24
eacd    // 60109       25
850e    // 34062       26
66b2    // 26290       27
9b54    // 39764       28
c910    // 51472       29
ee78    // 61048       30
deb3    // 57011       31
ddd4    // 56788       32
acad    // 44205       33
c226    // 49702       34
94f6    // 38134       35
63a5    // 25509       36
5b0a    // 23306       37
3342    // 13122       38
d3b1    // 54193       39
6a78    // 27256       40
76a9    // 30377       41
faaa    // 64170       42
205e    // 8286        43
366f    // 13935       44
f55d    // 62813       45
bcca    // 48330       46
68b7    // 26807       47
c7b5    // 51125       48
c205    // 49669       49
f4f3    // 62707       50
731     // 1841        51
5198    // 20888       52
c1c6    // 49606       53
3e34    // 15924       54
96ec    // 38636       55
b1d     // 2845        56
f4be    // 62654       57
51b2    // 20914       58
f32     // 3890        59
711e    // 28958       60
ea3e    // 59966       61
927e    // 37502       62
1e6c    // 7788        63
91dc    // 37340       64
4086    // 16518       65
7ef0    // 32496       66
3c9a    // 15514       67
7a1a    // 31258       68
67f5    // 26613       69
df7c    // 57212       70
6d4d    // 27981       71
5bb4    // 23476       72
61c9    // 25033       73
b0d     // 2829        74
291c    // 10524       75
85b8    // 34232       76
b253    // 45651       77
18db    // 6363        78
